text,url
specialized agency,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
United Nations,https://en.wikipedia.org/wiki/United_Nations
public health,https://en.wikipedia.org/wiki/Public_health
Geneva,https://en.wikipedia.org/wiki/Geneva
WHO was established,https://en.wikipedia.org/wiki/Establishment_of_the_World_Health_Organization
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
Office International d'Hygiène Publique,https://en.wikipedia.org/wiki/International_Office_of_Public_Hygiene
International Classification of Diseases,https://en.wikipedia.org/wiki/International_Classification_of_Diseases
World Health Report,https://en.wikipedia.org/wiki/World_Health_Report
eradication,https://en.wikipedia.org/wiki/Eradication_of_infectious_diseases
smallpox,https://en.wikipedia.org/wiki/Smallpox
eradication of polio,https://en.wikipedia.org/wiki/Polio_eradication
Ebola vaccine,https://en.wikipedia.org/wiki/Ebola_vaccine
communicable diseases,https://en.wikipedia.org/wiki/Communicable_disease
HIV/AIDS,https://en.wikipedia.org/wiki/HIV/AIDS
Ebola,https://en.wikipedia.org/wiki/Ebola
malaria,https://en.wikipedia.org/wiki/Malaria
tuberculosis,https://en.wikipedia.org/wiki/Tuberculosis
non-communicable diseases,https://en.wikipedia.org/wiki/Non-communicable_disease
cancer,https://en.wikipedia.org/wiki/Cancer
healthy diet,https://en.wikipedia.org/wiki/Healthy_eating
food security,https://en.wikipedia.org/wiki/Food_security
occupational health,https://en.wikipedia.org/wiki/Occupational_health
substance abuse,https://en.wikipedia.org/wiki/Substance_abuse
universal health care,https://en.wikipedia.org/wiki/Universal_health_care
public health,https://en.wikipedia.org/wiki/Public_health
well-being,https://en.wikipedia.org/wiki/Well-being
World Health Assembly,https://en.wikipedia.org/wiki/World_Health_Assembly
Tedros Adhanom Ghebreyesus,https://en.wikipedia.org/wiki/Tedros_Adhanom_Ghebreyesus
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
International Sanitary Conferences,https://en.wikipedia.org/wiki/International_Sanitary_Conferences
cholera,https://en.wikipedia.org/wiki/Cholera
cause,https://en.wikipedia.org/wiki/Cause_(medicine)
Suez Canal,https://en.wikipedia.org/wiki/Suez_Canal
bubonic plague,https://en.wikipedia.org/wiki/Bubonic_plague
Denmark,https://en.wikipedia.org/wiki/Denmark
Sweden-Norway,https://en.wikipedia.org/wiki/Sweden-Norway
yellow fever,https://en.wikipedia.org/wiki/Yellow_fever
brucellosis,https://en.wikipedia.org/wiki/Brucellosis
leprosy,https://en.wikipedia.org/wiki/Leprosy
tuberculosis,https://en.wikipedia.org/wiki/Tuberculosis
typhoid,https://en.wikipedia.org/wiki/Typhoid
Pan-American Sanitary Bureau,https://en.wikipedia.org/wiki/Pan-American_Sanitary_Bureau
