text,url
Abidjan,https://en.wikipedia.org/wiki/Abidjan
agricultural,https://en.wikipedia.org/wiki/Agriculture
CGIAR,https://en.wikipedia.org/wiki/CGIAR
Saint-Louis,"https://en.wikipedia.org/wiki/Saint-Louis,_Senegal"
Senegal,https://en.wikipedia.org/wiki/Senegal
Ibadan,https://en.wikipedia.org/wiki/Ibadan
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Cotonou,https://en.wikipedia.org/wiki/Cotonou
Benin,https://en.wikipedia.org/wiki/Benin
Antananarivo,https://en.wikipedia.org/wiki/Antananarivo
Madagascar,https://en.wikipedia.org/wiki/Madagascar
food security,https://en.wikipedia.org/wiki/Food_security
non-governmental organizations,https://en.wikipedia.org/wiki/Non-governmental_organization
International Rice Research Institute,https://en.wikipedia.org/wiki/International_Rice_Research_Institute
Los Baños,"https://en.wikipedia.org/wiki/Los_Ba%C3%B1os,_Laguna"
International Institute of Tropical Agriculture,https://en.wikipedia.org/wiki/International_Institute_of_Tropical_Agriculture
International Center for Tropical Agriculture,https://en.wikipedia.org/wiki/International_Center_for_Tropical_Agriculture
Global Rice Science Partnership,https://en.wikipedia.org/wiki/Global_Rice_Science_Partnership
New Rice for Africa,https://en.wikipedia.org/wiki/New_Rice_for_Africa
interspecific,https://en.wikipedia.org/wiki/Interspecific_competition
Oryza glaberrima,https://en.wikipedia.org/wiki/Oryza_glaberrima
Oryza sativa,https://en.wikipedia.org/wiki/Oryza_sativa
Monty Jones,https://en.wikipedia.org/wiki/Monty_Jones
World Food Prize,https://en.wikipedia.org/wiki/World_Food_Prize
African rice,https://en.wikipedia.org/wiki/African_rice
AllAfrica.com,https://en.wikipedia.org/wiki/AllAfrica.com
