text,url
United Nations,https://en.wikipedia.org/wiki/United_Nations
international community,https://en.wikipedia.org/wiki/International_community
crime prevention,https://en.wikipedia.org/wiki/Crime_prevention
criminal justice,https://en.wikipedia.org/wiki/Criminal_justice
Goal 16,https://en.wikipedia.org/wiki/Sustainable_Development_Goal_16
2030 Agenda for Sustainable Development,https://en.wikipedia.org/wiki/2030_Agenda_for_Sustainable_Development
Turin,https://en.wikipedia.org/wiki/Turin
United Nations Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
U Thant,https://en.wikipedia.org/wiki/U_Thant
juvenile delinquency,https://en.wikipedia.org/wiki/Juvenile_delinquency
Rome,https://en.wikipedia.org/wiki/Rome
UN Secretary-General,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations
Turin,https://en.wikipedia.org/wiki/Turin
2030 Agenda for Sustainable Development,https://en.wikipedia.org/wiki/2030_Agenda_for_Sustainable_Development
Goal 16,https://en.wikipedia.org/wiki/Goal_16
organised crime,https://en.wikipedia.org/wiki/Organized_crime
counter-terrorism,https://en.wikipedia.org/wiki/Counter-terrorism
international criminal law,https://en.wikipedia.org/wiki/International_criminal_law
artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence
robotics,https://en.wikipedia.org/wiki/Robotics
corruption,https://en.wikipedia.org/wiki/Corruption
human trafficking,https://en.wikipedia.org/wiki/Human_trafficking
counterfeiting,https://en.wikipedia.org/wiki/Counterfeit
cybercrime,https://en.wikipedia.org/wiki/Computer_crime
crimes against the environment,https://en.wikipedia.org/wiki/Environmental_crime
drug abuse,https://en.wikipedia.org/wiki/Substance_abuse
Turin,https://en.wikipedia.org/wiki/Turin
Centre for AI and Robotics,https://en.wikipedia.org/wiki/UNICRI_Centre_for_AI_and_Robotics
United Nations Office on Drugs and Crime,https://en.wikipedia.org/wiki/United_Nations_Office_on_Drugs_and_Crime
