text,url
agricultural biodiversity,https://en.wikipedia.org/wiki/Agricultural_biodiversity
food-,https://en.wikipedia.org/wiki/Food_security
climate change adaptation,https://en.wikipedia.org/wiki/Climate_change_adaptation
International Center for Tropical Agriculture,https://en.wikipedia.org/wiki/International_Center_for_Tropical_Agriculture
CGIAR,https://en.wikipedia.org/wiki/CGIAR
Maccarese,https://en.wikipedia.org/wiki/Maccarese
FAO,https://en.wikipedia.org/wiki/FAO
climate change,https://en.wikipedia.org/wiki/Climate_change
of plants,https://en.wikipedia.org/wiki/Plant_breeding
of animals,https://en.wikipedia.org/wiki/Animal_breeding
ecosystem services,https://en.wikipedia.org/wiki/Ecosystem_services
pollinators,https://en.wikipedia.org/wiki/Pollinator
biological control,https://en.wikipedia.org/wiki/Biological_control
soil microbes,https://en.wikipedia.org/wiki/Soil_microbes
FAO,https://en.wikipedia.org/wiki/FAO
CGIAR,https://en.wikipedia.org/wiki/CGIAR
Plant Genetic Resources,https://en.wikipedia.org/wiki/Plant_Genetic_Resources
gene bank,https://en.wikipedia.org/wiki/Genomic_library
Katholieke Universiteit Leuven,https://en.wikipedia.org/wiki/KU_Leuven
ProMusa,https://en.wikipedia.org/wiki/ProMusa
bananas,https://en.wikipedia.org/wiki/Banana
plantains,https://en.wikipedia.org/wiki/Cooking_banana
Global Crop Diversity Trust,https://en.wikipedia.org/wiki/Crop_Trust
UN Food and Agriculture Organization,https://en.wikipedia.org/wiki/Food_and_Agriculture_Organization
Chin Hoong Fong,https://en.wikipedia.org/wiki/Chin_Hoong_Fong
CGIAR,https://en.wikipedia.org/wiki/CGIAR
Time,https://en.wikipedia.org/wiki/Time_(magazine)
