text,url
United Nations Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
African continent,https://en.wikipedia.org/wiki/Africa
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
regional commissions,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council#Regional_commissions
United Nations,https://en.wikipedia.org/wiki/United_Nations
Africa,https://en.wikipedia.org/wiki/Africa
Claver Gatete,https://en.wikipedia.org/wiki/Claver_Gatete
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Cameroonian,https://en.wikipedia.org/wiki/Cameroon
Vera Songwe,https://en.wikipedia.org/wiki/Vera_Songwe
Capacity Development,https://en.wikipedia.org/wiki/Capacity_building
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
Agenda 2063,https://en.wikipedia.org/wiki/Agenda_2063
African Union,https://en.wikipedia.org/wiki/African_Union
SDG 17,https://en.wikipedia.org/wiki/SDG_17
Sustainable Development,https://en.wikipedia.org/wiki/Sustainable_development
High-Level Political Forum on Sustainable Development (HLPF),https://en.wikipedia.org/wiki/High-level_Political_Forum_on_Sustainable_Development
Congo Basin,https://en.wikipedia.org/wiki/Congo_Basin
26th conference of the parties to the UN climate convention,https://en.wikipedia.org/wiki/2021_United_Nations_Climate_Change_Conference
Covid-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
climate finance,https://en.wikipedia.org/wiki/Climate_finance
eurobonds,https://en.wikipedia.org/wiki/Euro_bonds
Africa Hall,https://en.wikipedia.org/wiki/Africa_Hall_(Addis_Ababa)
Addis Ababa,https://en.wikipedia.org/wiki/Addis_Ababa
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Yaoundé,https://en.wikipedia.org/wiki/Yaound%C3%A9
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Central Africa,https://en.wikipedia.org/wiki/Central_Africa
Kigali,https://en.wikipedia.org/wiki/Kigali
Rwanda,https://en.wikipedia.org/wiki/Rwanda
East Africa,https://en.wikipedia.org/wiki/East_Africa
Rabat,https://en.wikipedia.org/wiki/Rabat
Morocco,https://en.wikipedia.org/wiki/Morocco
North Africa,https://en.wikipedia.org/wiki/North_Africa
Lusaka,https://en.wikipedia.org/wiki/Lusaka
Zambia,https://en.wikipedia.org/wiki/Zambia
Southern Africa,https://en.wikipedia.org/wiki/Southern_Africa
Niamey,"https://en.wikipedia.org/wiki/Niamey,_Niger"
Niger,https://en.wikipedia.org/wiki/Niger
West Africa,https://en.wikipedia.org/wiki/West_Africa
Algeria,https://en.wikipedia.org/wiki/Algeria
Angola,https://en.wikipedia.org/wiki/Angola
Benin,https://en.wikipedia.org/wiki/Benin
Botswana,https://en.wikipedia.org/wiki/Botswana
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Burundi,https://en.wikipedia.org/wiki/Burundi
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic
Chad,https://en.wikipedia.org/wiki/Chad
Comoros,https://en.wikipedia.org/wiki/Comoros
Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
DR Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Djibouti,https://en.wikipedia.org/wiki/Djibouti
Egypt,https://en.wikipedia.org/wiki/Egypt
Eritrea,https://en.wikipedia.org/wiki/Eritrea
Eswatini,https://en.wikipedia.org/wiki/Eswatini
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
Gabon,https://en.wikipedia.org/wiki/Gabon
Gambia,https://en.wikipedia.org/wiki/The_Gambia
Ghana,https://en.wikipedia.org/wiki/Ghana
Guinea,https://en.wikipedia.org/wiki/Guinea
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Kenya,https://en.wikipedia.org/wiki/Kenya
Lesotho,https://en.wikipedia.org/wiki/Lesotho
Liberia,https://en.wikipedia.org/wiki/Liberia
Libya,https://en.wikipedia.org/wiki/Libya
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Malawi,https://en.wikipedia.org/wiki/Malawi
Mali,https://en.wikipedia.org/wiki/Mali
Mauritania,https://en.wikipedia.org/wiki/Mauritania
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Morocco,https://en.wikipedia.org/wiki/Morocco
Namibia,https://en.wikipedia.org/wiki/Namibia
Niger,https://en.wikipedia.org/wiki/Niger
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Rwanda,https://en.wikipedia.org/wiki/Rwanda
São Tomé and Príncipe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Senegal,https://en.wikipedia.org/wiki/Senegal
Seychelles,https://en.wikipedia.org/wiki/Seychelles
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Somalia,https://en.wikipedia.org/wiki/Somalia
South Africa,https://en.wikipedia.org/wiki/South_Africa
South Sudan,https://en.wikipedia.org/wiki/South_Sudan
Sudan,https://en.wikipedia.org/wiki/Sudan
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Togo,https://en.wikipedia.org/wiki/Togo
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Uganda,https://en.wikipedia.org/wiki/Uganda
Zambia,https://en.wikipedia.org/wiki/Zambia
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe
Claver Gatete,https://en.wikipedia.org/wiki/Claver_Gatete
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Vera Songwe,https://en.wikipedia.org/wiki/Vera_Songwe
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Carlos Lopes,https://en.wikipedia.org/wiki/Carlos_Lopes_(Guinea_Bissau)
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Abdoulie Janneh,https://en.wikipedia.org/wiki/Abdoulie_Janneh
Gambia,https://en.wikipedia.org/wiki/The_Gambia
K. Y. Amoako,https://en.wikipedia.org/wiki/K._Y._Amoako
Ghana,https://en.wikipedia.org/wiki/Ghana
Algeria,https://en.wikipedia.org/wiki/Algeria
Guinea,https://en.wikipedia.org/wiki/Guinea
Adebayo Adedeji,https://en.wikipedia.org/wiki/Adebayo_Adedeji
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Robert K. A. Gardiner,https://en.wikipedia.org/wiki/Robert_K._A._Gardiner
Ghana,https://en.wikipedia.org/wiki/Ghana
Mekki Abbas,https://en.wikipedia.org/wiki/Mekki_Abbas
Sudan,https://en.wikipedia.org/wiki/Sudan
United Nations System,https://en.wikipedia.org/wiki/United_Nations_System
United Nations Economic and Social Commission for Western Asia,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Western_Asia
Economy of Africa,https://en.wikipedia.org/wiki/Economy_of_Africa
List of central banks of Africa,https://en.wikipedia.org/wiki/List_of_central_banks_of_Africa
Union of International Associations,https://en.wikipedia.org/wiki/Union_of_International_Associations
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
