text,url
six principal organs,https://en.wikipedia.org/wiki/United_Nations_System#Six_principal_organs
United Nations,https://en.wikipedia.org/wiki/United_Nations
fifteen specialized agencies,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
"over 1,600 nongovernmental organizations",https://en.wikipedia.org/wiki/List_of_organizations_with_consultative_status_to_the_United_Nations_Economic_and_Social_Council
consultative status,https://en.wikipedia.org/wiki/Consultative_status
World Bank,https://en.wikipedia.org/wiki/World_Bank_Group
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
High-level Political Forum on Sustainable Development,https://en.wikipedia.org/wiki/High-level_Political_Forum_on_Sustainable_Development
2030 Agenda for Sustainable Development,https://en.wikipedia.org/wiki/2030_Agenda_for_Sustainable_Development
UNICEF,https://en.wikipedia.org/wiki/UNICEF
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
UNHCR,https://en.wikipedia.org/wiki/UNHCR
least developed countries,https://en.wikipedia.org/wiki/Least_developed_countries
United Nations Regional Groups,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups
Bob Rae,https://en.wikipedia.org/wiki/Bob_Rae
Paula Narváez,https://en.wikipedia.org/wiki/Paula_Narv%C3%A1ez
Lachezara Stoeva,https://en.wikipedia.org/wiki/Lachezara_Stoeva
Collen Vixen Kelapile,https://en.wikipedia.org/wiki/Collen_Vixen_Kelapile
General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations Charter,https://en.wikipedia.org/wiki/United_Nations_Charter
United Nations Regional Groups,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups
Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
superpowers,https://en.wikipedia.org/wiki/Superpower
see list,https://en.wikipedia.org/wiki/List_of_members_of_the_United_Nations_Economic_and_Social_Council#Non-permanent
Permanent Five,https://en.wikipedia.org/wiki/Permanent_Five
Latin America,https://en.wikipedia.org/wiki/Latin_America
Eastern Europe,https://en.wikipedia.org/wiki/Eastern_Europe
British Commonwealth,https://en.wikipedia.org/wiki/British_Commonwealth
Near,https://en.wikipedia.org/wiki/Near_East
Far East,https://en.wikipedia.org/wiki/Far_East
Western Europe,https://en.wikipedia.org/wiki/Western_Europe
decolonization,https://en.wikipedia.org/wiki/Decolonization
Africa,https://en.wikipedia.org/wiki/Africa
Republic of China (Taiwan),https://en.wikipedia.org/wiki/Taiwan
Asian Group,https://en.wikipedia.org/wiki/Group_of_Asia_and_the_Pacific_Small_Island_Developing_States
Eastern European Group,https://en.wikipedia.org/wiki/Eastern_European_Group
Latin American and Caribbean Group,https://en.wikipedia.org/wiki/Latin_American_and_Caribbean_Group
Western European and Others Group,https://en.wikipedia.org/wiki/Western_European_and_Others_Group
African Group,https://en.wikipedia.org/wiki/African_Group
Asia-Pacific Group,https://en.wikipedia.org/wiki/Group_of_Asia_and_the_Pacific_Small_Island_Developing_States
Eastern European Group,https://en.wikipedia.org/wiki/Eastern_European_Group
Latin American and Caribbean Group,https://en.wikipedia.org/wiki/Latin_American_and_Caribbean_Group
Western European and Others Group,https://en.wikipedia.org/wiki/Western_European_and_Others_Group
African States,https://en.wikipedia.org/wiki/African_Group
Asia-Pacific States,https://en.wikipedia.org/wiki/Asia-Pacific_Group
Eastern EuropeanStates,https://en.wikipedia.org/wiki/Eastern_European_Group
Latin American &Caribbean States,https://en.wikipedia.org/wiki/Latin_American_and_Caribbean_Group
Western European &Other States,https://en.wikipedia.org/wiki/Western_European_and_Others_Group
Algeria,https://en.wikipedia.org/wiki/Algeria
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Djibouti,https://en.wikipedia.org/wiki/Djibouti
South Africa,https://en.wikipedia.org/wiki/South_Africa
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Armenia,https://en.wikipedia.org/wiki/Armenia
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Mexico,https://en.wikipedia.org/wiki/Mexico
Australia,https://en.wikipedia.org/wiki/Australia
Austria,https://en.wikipedia.org/wiki/Austria
Canada,https://en.wikipedia.org/wiki/Canada
Finland,https://en.wikipedia.org/wiki/Finland
Italy,https://en.wikipedia.org/wiki/Italy
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Kenya,https://en.wikipedia.org/wiki/Kenya
Mauritania,https://en.wikipedia.org/wiki/Mauritania
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Senegal,https://en.wikipedia.org/wiki/Senegal
Zambia,https://en.wikipedia.org/wiki/Zambia
Japan,https://en.wikipedia.org/wiki/Japan
Nepal,https://en.wikipedia.org/wiki/Nepal
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Poland,https://en.wikipedia.org/wiki/Poland
Haiti,https://en.wikipedia.org/wiki/Haiti
Paraguay,https://en.wikipedia.org/wiki/Paraguay
Suriname,https://en.wikipedia.org/wiki/Suriname
Uruguay,https://en.wikipedia.org/wiki/Uruguay
France,https://en.wikipedia.org/wiki/France
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Spain,https://en.wikipedia.org/wiki/Spain
Turkey,https://en.wikipedia.org/wiki/Turkey
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Botswana,https://en.wikipedia.org/wiki/Botswana
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
China,https://en.wikipedia.org/wiki/China
Laos,https://en.wikipedia.org/wiki/Laos
Qatar,https://en.wikipedia.org/wiki/Qatar
Republic of Korea,https://en.wikipedia.org/wiki/South_Korea
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Brazil,https://en.wikipedia.org/wiki/Brazil
Colombia,https://en.wikipedia.org/wiki/Colombia
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Sweden,https://en.wikipedia.org/wiki/Sweden
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Russia,https://en.wikipedia.org/wiki/Russia
Council of Arab Economic Unity,https://en.wikipedia.org/wiki/Council_of_Arab_Economic_Unity
Global Water Partnership,https://en.wikipedia.org/wiki/Global_Water_Partnership
Helsinki Commission,https://en.wikipedia.org/wiki/Commission_on_Security_and_Cooperation_in_Europe
International Centre for Genetic Engineering and Biotechnology,https://en.wikipedia.org/wiki/International_Centre_for_Genetic_Engineering_and_Biotechnology
"Islamic Educational, Scientific and Cultural Organization","https://en.wikipedia.org/wiki/Islamic_Educational,_Scientific_and_Cultural_Organization"
Organisation of Ibero-American States,https://en.wikipedia.org/wiki/Organization_of_Ibero-American_States
Organization of the Petroleum Exporting Countries,https://en.wikipedia.org/wiki/Organization_of_the_Petroleum_Exporting_Countries
West African Economic and Monetary Union,https://en.wikipedia.org/wiki/Economic_Community_of_West_African_States#West_African_Economic_and_Monetary_Union
World Deserts Foundation,https://en.wikipedia.org/wiki/World_Deserts_Foundation
International Civil Defence Organisation,https://en.wikipedia.org/wiki/International_Civil_Defence_Organisation
Latin American Social Sciences Institute,https://en.wikipedia.org/wiki/Latin_American_Social_Sciences_Institute
Commission on Narcotic Drugs,https://en.wikipedia.org/wiki/Commission_on_Narcotic_Drugs
Commission on Population and Development,https://en.wikipedia.org/wiki/Commission_on_Population_and_Development
Commission on Science and Technology for Development,https://en.wikipedia.org/wiki/Commission_on_Science_and_Technology_for_Development
Commission on the Status of Women,https://en.wikipedia.org/wiki/United_Nations_Commission_on_the_Status_of_Women
Statistical Commission,https://en.wikipedia.org/wiki/United_Nations_Statistical_Commission
Commission for Social Development,https://en.wikipedia.org/wiki/Commission_for_Social_Development
Commission on Crime Prevention and Criminal Justice,https://en.wikipedia.org/wiki/United_Nations_Commission_on_Crime_Prevention_and_Criminal_Justice
Forum on Forests,https://en.wikipedia.org/wiki/United_Nations_Forum_on_Forests
Commission on Human Rights,https://en.wikipedia.org/wiki/United_Nations_Commission_on_Human_Rights
United Nations Human Rights Council,https://en.wikipedia.org/wiki/United_Nations_Human_Rights_Council
Commission on Sustainable Development,https://en.wikipedia.org/wiki/Commission_on_Sustainable_Development
High-level Political Forum on Sustainable Development,https://en.wikipedia.org/wiki/High-level_Political_Forum_on_Sustainable_Development
United Nations Economic Commission for Europe,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
United Nations Economic Commission for Latin America and the Caribbean,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America_and_the_Caribbean
United Nations Economic and Social Commission for Asia and the Pacific,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific
United Nations Economic and Social Commission for Western Asia,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Western_Asia
sustainability,https://en.wikipedia.org/wiki/Sustainability
environmental dimension of development,https://en.wikipedia.org/wiki/Sustainable_development
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
Committee on Non-Governmental Organizations,https://en.wikipedia.org/wiki/United_Nations_Committee_on_Non-Governmental_Organizations
Committee for Development Policy,https://en.wikipedia.org/wiki/Committee_for_Development_Policy
"Committee on Economic, Social and Cultural Rights","https://en.wikipedia.org/wiki/Committee_on_Economic,_Social_and_Cultural_Rights"
Committee of Experts on Global Geospatial Information Management,https://en.wikipedia.org/wiki/United_Nations_Committee_of_Experts_on_Global_Geospatial_Information_Management
Committee of Experts on Public Administration,https://en.wikipedia.org/wiki/United_Nations_Committee_of_Experts_on_Public_Administration
Group of Experts on Geographical Names,https://en.wikipedia.org/wiki/United_Nations_Group_of_Experts_on_Geographical_Names
Intergovernmental Working Group of Experts on International Standards of Accounting and Reporting,https://en.wikipedia.org/wiki/Intergovernmental_Working_Group_of_Experts_on_International_Standards_of_Accounting_and_Reporting
Permanent Forum on Indigenous Issues,https://en.wikipedia.org/wiki/United_Nations_Permanent_Forum_on_Indigenous_Issues
UNESCO,https://en.wikipedia.org/wiki/UNESCO
Food and Agriculture Organization,https://en.wikipedia.org/wiki/Food_and_Agriculture_Organization
International Civil Aviation Organization,https://en.wikipedia.org/wiki/International_Civil_Aviation_Organization
International Fund for Agricultural Development,https://en.wikipedia.org/wiki/International_Fund_for_Agricultural_Development
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
International Maritime Organization,https://en.wikipedia.org/wiki/International_Maritime_Organization
International Telecommunication Union,https://en.wikipedia.org/wiki/International_Telecommunication_Union
"United Nations Educational, Scientific and Cultural Organization","https://en.wikipedia.org/wiki/United_Nations_Educational,_Scientific_and_Cultural_Organization"
United Nations Industrial Development Organization,https://en.wikipedia.org/wiki/United_Nations_Industrial_Development_Organization
United Nations World Tourism Organization,https://en.wikipedia.org/wiki/United_Nations_World_Tourism_Organization
Universal Postal Union,https://en.wikipedia.org/wiki/Universal_Postal_Union
World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group
International Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/International_Bank_for_Reconstruction_and_Development
International Development Association,https://en.wikipedia.org/wiki/International_Development_Association
International Finance Corporation,https://en.wikipedia.org/wiki/International_Finance_Corporation
Multilateral Investment Guarantee Agency,https://en.wikipedia.org/wiki/Multilateral_Investment_Guarantee_Agency
International Centre for Settlement of Investment Disputes,https://en.wikipedia.org/wiki/International_Centre_for_Settlement_of_Investment_Disputes
World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization
World Intellectual Property Organization,https://en.wikipedia.org/wiki/World_Intellectual_Property_Organization
World Meteorological Organization,https://en.wikipedia.org/wiki/World_Meteorological_Organization
green technologies,https://en.wikipedia.org/wiki/Green_technologies
fossil fuels,https://en.wikipedia.org/wiki/Fossil_fuels
sustainability,https://en.wikipedia.org/wiki/Sustainability
global warming,https://en.wikipedia.org/wiki/Global_warming
biodiversity loss,https://en.wikipedia.org/wiki/Biodiversity_loss
nitrogen-cycle,https://en.wikipedia.org/wiki/Nitrogen-cycle
earth,https://en.wikipedia.org/wiki/Earth
ecosystem,https://en.wikipedia.org/wiki/Ecosystem
UN Secretary-General,https://en.wikipedia.org/wiki/UN_Secretary-General
Ban Ki-moon,https://en.wikipedia.org/wiki/Ban_Ki-moon
2005 World Summit,https://en.wikipedia.org/wiki/2005_World_Summit
Kofi Annan,https://en.wikipedia.org/wiki/Kofi_Annan
Millennium Development Goals,https://en.wikipedia.org/wiki/Millennium_Development_Goals
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
G8,https://en.wikipedia.org/wiki/G8
G20,https://en.wikipedia.org/wiki/G20
United Nations Conference Building,https://en.wikipedia.org/wiki/Headquarters_of_the_United_Nations
Sweden,https://en.wikipedia.org/wiki/Sweden
Sven Markelius,https://en.wikipedia.org/wiki/Sven_Markelius
List of organizations with consultative status to the United Nations Economic and Social Council,https://en.wikipedia.org/wiki/List_of_organizations_with_consultative_status_to_the_United_Nations_Economic_and_Social_Council
Copenhagen Consensus,https://en.wikipedia.org/wiki/Copenhagen_Consensus
French Economic and Social Council,https://en.wikipedia.org/wiki/French_Economic_and_Social_Council
