text,url
Patancheru,https://en.wikipedia.org/wiki/Patancheru
Hyderabad,https://en.wikipedia.org/wiki/Hyderabad
Telangana,https://en.wikipedia.org/wiki/Telangana
India,https://en.wikipedia.org/wiki/India
Bamako,https://en.wikipedia.org/wiki/Bamako
Nairobi,https://en.wikipedia.org/wiki/Nairobi
Niamey,https://en.wikipedia.org/wiki/Niamey
Kano,https://en.wikipedia.org/wiki/Kano_(city)
Lilongwe,https://en.wikipedia.org/wiki/Lilongwe
Addis Ababa,https://en.wikipedia.org/wiki/Addis_Ababa
Bulawayo,https://en.wikipedia.org/wiki/Bulawayo
Ford-,https://en.wikipedia.org/wiki/Ford_Foundation
Rockefeller-,https://en.wikipedia.org/wiki/Rockefeller_Foundation
FAO,https://en.wikipedia.org/wiki/FAO
UNDP,https://en.wikipedia.org/wiki/UNDP
India,https://en.wikipedia.org/wiki/India
a UN Organization,https://en.wikipedia.org/wiki/List_of_United_Nations_organizations
Purple-rumped sunbird,https://en.wikipedia.org/wiki/Purple-rumped_sunbird
irrigation,https://en.wikipedia.org/wiki/Irrigation
Smart Food,https://en.wikipedia.org/wiki/Smart_Food
millets,https://en.wikipedia.org/wiki/Millet
sorghum,https://en.wikipedia.org/wiki/Sorghum
Pearl millet,https://en.wikipedia.org/wiki/Pearl_millet
Patancheru,https://en.wikipedia.org/wiki/Patancheru
panicles,https://en.wikipedia.org/wiki/Panicle
parchment paper bags to ensure self-pollination,https://en.wikipedia.org/wiki/Pollen_bag
chickpea,https://en.wikipedia.org/wiki/Chickpea
pigeonpea,https://en.wikipedia.org/wiki/Pigeonpea
groundnut,https://en.wikipedia.org/wiki/Peanut
pearl millet,https://en.wikipedia.org/wiki/Pearl_millet
sorghum,https://en.wikipedia.org/wiki/Sorghum
finger millet,https://en.wikipedia.org/wiki/Finger_Millet
teff,https://en.wikipedia.org/wiki/Eragrostis_tef
germplasm,https://en.wikipedia.org/wiki/Germplasm
sorghum,https://en.wikipedia.org/wiki/Sorghum
pearl millet,https://en.wikipedia.org/wiki/Pearl_millet
finger millet,https://en.wikipedia.org/wiki/Finger_millet
chickpea,https://en.wikipedia.org/wiki/Chickpea
pigeonpea,https://en.wikipedia.org/wiki/Pigeonpea
groundnut,https://en.wikipedia.org/wiki/Peanut
foxtail millet,https://en.wikipedia.org/wiki/Foxtail_millet
little millet,https://en.wikipedia.org/wiki/Little_millet
kodo millet,https://en.wikipedia.org/wiki/Kodo_millet
proso millet,https://en.wikipedia.org/wiki/Proso_millet
barnyard millet,https://en.wikipedia.org/wiki/Barnyard_millet
landraces,https://en.wikipedia.org/wiki/Landraces
irrigated,https://en.wikipedia.org/wiki/Irrigated
rainfed,https://en.wikipedia.org/wiki/Rainfed
rupees,https://en.wikipedia.org/wiki/Rupees
chickpea,https://en.wikipedia.org/wiki/Chickpea
Gujarat,https://en.wikipedia.org/wiki/Gujarat
hectare,https://en.wikipedia.org/wiki/Hectare
acre,https://en.wikipedia.org/wiki/Acre
Central India,https://en.wikipedia.org/wiki/Central_India
public sector-bred,https://en.wikipedia.org/wiki/Public-sector_breeding
marker-assisted bred,https://en.wikipedia.org/wiki/Marker-assisted_breeding
Arid Forest Research Institute,https://en.wikipedia.org/wiki/Arid_Forest_Research_Institute
CGIAR,https://en.wikipedia.org/wiki/CGIAR
Genome Valley,https://en.wikipedia.org/wiki/Genome_Valley
ICRISAT,https://en.wikipedia.org/wiki/ICRISAT
ICRISAT,https://en.wikipedia.org/wiki/ICRISAT
ICRISAT,https://en.wikipedia.org/wiki/ICRISAT
The Hindu,https://en.wikipedia.org/wiki/The_Hindu
The_New_Indian_Express,https://en.wikipedia.org/wiki/The_New_Indian_Express
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
The Hindu,https://en.wikipedia.org/wiki/The_Hindu
CGIAR Genebank Platform,https://en.wikipedia.org/wiki/CGIAR_Genebank_Platform
The Hindu,https://en.wikipedia.org/wiki/The_Hindu
Science,https://en.wikipedia.org/wiki/Science_(journal)
American Association for the Advancement of Science,https://en.wikipedia.org/wiki/American_Association_for_the_Advancement_of_Science
