text,url
international treaty,https://en.wikipedia.org/wiki/International_treaty
human interference,https://en.wikipedia.org/wiki/Global_warming
climate system,https://en.wikipedia.org/wiki/Climate_system
greenhouse gases,https://en.wikipedia.org/wiki/Greenhouse_gases
atmosphere,https://en.wikipedia.org/wiki/Atmosphere
United Nations Conference on Environment and Development,https://en.wikipedia.org/wiki/United_Nations_Conference_on_Environment_and_Development
Earth Summit,https://en.wikipedia.org/wiki/Earth_Summit
Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
UN Campus in Bonn,"https://en.wikipedia.org/wiki/UN_Campus,_Bonn"
Philippines,https://en.wikipedia.org/wiki/Philippines
COP 27,https://en.wikipedia.org/wiki/2022_United_Nations_Climate_Change_Conference
Holy See delegation,https://en.wikipedia.org/wiki/Foreign_relations_of_the_Holy_See
Armen Sarkissian,https://en.wikipedia.org/wiki/Armen_Sarkissian
president of Armenia,https://en.wikipedia.org/wiki/President_of_Armenia
COP 26,https://en.wikipedia.org/wiki/2021_United_Nations_Climate_Change_Conference
climate system,https://en.wikipedia.org/wiki/Climate_system
ecosystems,https://en.wikipedia.org/wiki/Ecosystem
adapt to climate change,https://en.wikipedia.org/wiki/Climate_change_adaptation
food production,https://en.wikipedia.org/wiki/Food_industry
economic development,https://en.wikipedia.org/wiki/Economic_development
sustainable,https://en.wikipedia.org/wiki/Sustainable_development
Paris Agreement,https://en.wikipedia.org/wiki/Paris_Agreement
rise in global temperature,https://en.wikipedia.org/wiki/Instrumental_temperature_record
Industrial Revolution,https://en.wikipedia.org/wiki/Industrial_Revolution
Kyoto Protocol,https://en.wikipedia.org/wiki/Kyoto_Protocol
Conference of the Parties,https://en.wikipedia.org/wiki/Conference_of_the_parties
global stocktake,https://en.wikipedia.org/wiki/Global_stocktake
COP28,https://en.wikipedia.org/wiki/2023_United_Nations_Climate_Change_Conference
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
developed countries,https://en.wikipedia.org/wiki/Developed_countries
developing countries,https://en.wikipedia.org/wiki/Developing_countries
emissions of greenhouse gases,https://en.wikipedia.org/wiki/Greenhouse_gas_emissions
Climate change mitigation,https://en.wikipedia.org/wiki/Climate_change_mitigation
Climate change,https://en.wikipedia.org/wiki/Climate_change
Co-benefits of mitigation,https://en.wikipedia.org/wiki/Co-benefits_of_climate_change_mitigation
Greenhouse gas emissions,https://en.wikipedia.org/wiki/Greenhouse_gas_emissions
Energy,https://en.wikipedia.org/wiki/Climate_and_energy
Carbon capture and storage,https://en.wikipedia.org/wiki/Carbon_capture_and_storage
Coal phase-out,https://en.wikipedia.org/wiki/Coal_phase-out
Energy transition,https://en.wikipedia.org/wiki/Energy_transition
Fossil fuel divestment,https://en.wikipedia.org/wiki/Fossil_fuel_divestment
Fossil fuel phase-out,https://en.wikipedia.org/wiki/Fossil_fuel_phase-out
Fossil fuel vehicles,https://en.wikipedia.org/wiki/Phase-out_of_fossil_fuel_vehicles
Low-carbon electricity,https://en.wikipedia.org/wiki/Low-carbon_electricity
Nuclear power,https://en.wikipedia.org/wiki/Nuclear_power
Renewable energy,https://en.wikipedia.org/wiki/Renewable_energy
Solar power,https://en.wikipedia.org/wiki/Solar_power
Sustainable energy,https://en.wikipedia.org/wiki/Sustainable_energy
Wind power,https://en.wikipedia.org/wiki/Wind_power
World energy supply and consumption,https://en.wikipedia.org/wiki/World_energy_supply_and_consumption
Economics,https://en.wikipedia.org/wiki/Economics_of_climate_change_mitigation
Building insulation,https://en.wikipedia.org/wiki/Building_insulation
Carbon offsets and credits,https://en.wikipedia.org/wiki/Carbon_offsets_and_credits
Carbon tax,https://en.wikipedia.org/wiki/Carbon_tax
Climate debt,https://en.wikipedia.org/wiki/Climate_debt
Climate finance,https://en.wikipedia.org/wiki/Climate_finance
Climate risk insurance,https://en.wikipedia.org/wiki/Climate_risk_insurance
Eco-capitalism,https://en.wikipedia.org/wiki/Eco-capitalism
Economic analysis of climate change,https://en.wikipedia.org/wiki/Economic_analysis_of_climate_change
Economics of climate change mitigation,https://en.wikipedia.org/wiki/Economics_of_climate_change_mitigation
Emissions trading,https://en.wikipedia.org/wiki/Emissions_trading
Environmental accounting,https://en.wikipedia.org/wiki/Environmental_accounting
Environmental design,https://en.wikipedia.org/wiki/Environmental_design
Environmental full-cost accounting,https://en.wikipedia.org/wiki/Environmental_full-cost_accounting
Environmental impact design,https://en.wikipedia.org/wiki/Environmental_impact_design
