text,url
behavioral sciences,https://en.wikipedia.org/wiki/Behavioral_science
Economics,https://en.wikipedia.org/wiki/Economics
Outline,https://en.wikipedia.org/wiki/Outline_of_economics
Index,https://en.wikipedia.org/wiki/Index_of_economics_articles
Glossary,https://en.wikipedia.org/wiki/Glossary_of_economics
methodology,https://en.wikipedia.org/wiki/Economic_methodology
Economic theory,https://en.wikipedia.org/wiki/Theoretical_economics
Mathematical modeling,https://en.wikipedia.org/wiki/Mathematical_model
Game theory,https://en.wikipedia.org/wiki/Game_theory
Rational choice,https://en.wikipedia.org/wiki/Rational_agent_model
Cognitive science,https://en.wikipedia.org/wiki/Cognitive_science
Behavioral,https://en.wikipedia.org/wiki/Behavioral_economics
Economic equilibrium,https://en.wikipedia.org/wiki/Economic_equilibrium
Empirical,https://en.wikipedia.org/wiki/Empirical_research
Experimental,https://en.wikipedia.org/wiki/Experimental_economics
National accounts,https://en.wikipedia.org/wiki/National_accounts
Econometrics,https://en.wikipedia.org/wiki/Econometrics
Time series,https://en.wikipedia.org/wiki/Time_series_econometrics
Spatial,https://en.wikipedia.org/wiki/Spatial_econometrics
Prescriptive,https://en.wikipedia.org/wiki/Normative_economics
Welfare analysis,https://en.wikipedia.org/wiki/Welfare_economics
Social choice theory,https://en.wikipedia.org/wiki/Social_choice_theory
Rational choice theory,https://en.wikipedia.org/wiki/Decision_theory
Cost–benefit analysis,https://en.wikipedia.org/wiki/Cost%E2%80%93benefit_analysis
Branches and subfields,https://en.wikipedia.org/wiki/JEL_classification_codes
Applied,https://en.wikipedia.org/wiki/Applied_economics
Econometrics,https://en.wikipedia.org/wiki/Econometrics
International,https://en.wikipedia.org/wiki/International_economics
Heterodox,https://en.wikipedia.org/wiki/Heterodox_economics
Micro,https://en.wikipedia.org/wiki/Microeconomics
Macro,https://en.wikipedia.org/wiki/Macroeconomics
Mainstream,https://en.wikipedia.org/wiki/Mainstream_economics
Mathematical,https://en.wikipedia.org/wiki/Mathematical_economics
Mech. design,https://en.wikipedia.org/wiki/Mechanism_design
Methodology,https://en.wikipedia.org/wiki/Economic_methodology
Political,https://en.wikipedia.org/wiki/Political_economy
Industrial org.,https://en.wikipedia.org/wiki/Industrial_organization
Market design,https://en.wikipedia.org/wiki/Market_design
Agriculture,https://en.wikipedia.org/wiki/Agricultural_economics
Business,https://en.wikipedia.org/wiki/Business_economics
Cultural,https://en.wikipedia.org/wiki/Cultural_economics
Demographic,https://en.wikipedia.org/wiki/Demographic_economics
Development,https://en.wikipedia.org/wiki/Development_economics
Ecological,https://en.wikipedia.org/wiki/Ecological_economics
Education,https://en.wikipedia.org/wiki/Education_economics
Engineering,https://en.wikipedia.org/wiki/Engineering_economics
Environmental,https://en.wikipedia.org/wiki/Environmental_economics
Evolutionary,https://en.wikipedia.org/wiki/Evolutionary_economics
Financial,https://en.wikipedia.org/wiki/Financial_economics
Geographic,https://en.wikipedia.org/wiki/Economic_geography
Happiness,https://en.wikipedia.org/wiki/Happiness_economics
Health,https://en.wikipedia.org/wiki/Health_economics
History,https://en.wikipedia.org/wiki/Economic_history
Information,https://en.wikipedia.org/wiki/Information_economics
Infrastructure,https://en.wikipedia.org/wiki/Infrastructure_and_economics
Institutions,https://en.wikipedia.org/wiki/Institutional_economics
Labour,https://en.wikipedia.org/wiki/Labour_economics
Law,https://en.wikipedia.org/wiki/Law_and_economics
Management,https://en.wikipedia.org/wiki/Managerial_economics
Non-monetary,https://en.wikipedia.org/wiki/Non-monetary_economy
Organization,https://en.wikipedia.org/wiki/Organizational_economics
Participation,https://en.wikipedia.org/wiki/Economics_of_participation
Personnel,https://en.wikipedia.org/wiki/Personnel_economics
Planning,https://en.wikipedia.org/wiki/Economic_planning
Policy,https://en.wikipedia.org/wiki/Economic_policy
Public sector,https://en.wikipedia.org/wiki/Public_economics
Public choice,https://en.wikipedia.org/wiki/Public_choice
Social choice,https://en.wikipedia.org/wiki/Social_choice
Regional,https://en.wikipedia.org/wiki/Regional_economics
Regulatory,https://en.wikipedia.org/wiki/Regulatory_economics
Resources,https://en.wikipedia.org/wiki/Natural_resource_economics
Rural,https://en.wikipedia.org/wiki/Rural_economics
Service,https://en.wikipedia.org/wiki/Service_economy
Transport,https://en.wikipedia.org/wiki/Transport_economics
Urban,https://en.wikipedia.org/wiki/Urban_economics
Welfare,https://en.wikipedia.org/wiki/Welfare_economics
French,https://en.wikipedia.org/wiki/French_language
intergovernmental organisation,https://en.wikipedia.org/wiki/International_organization
world trade,https://en.wikipedia.org/wiki/International_trade
forum,https://en.wikipedia.org/wiki/Forum_(legal)
democracy,https://en.wikipedia.org/wiki/Democracy
market economy,https://en.wikipedia.org/wiki/Market_economy
developed countries,https://en.wikipedia.org/wiki/Developed_country
high-income economies,https://en.wikipedia.org/wiki/World_Bank_high-income_economy
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
median age,https://en.wikipedia.org/wiki/Median_age
global nominal GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
USD,https://en.wikipedia.org/wiki/United_States_dollar
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Int$,https://en.wikipedia.org/wiki/International_dollar
purchasing power parity,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
United Nations observer,https://en.wikipedia.org/wiki/United_Nations_General_Assembly_observers
social security systems,https://en.wikipedia.org/wiki/Welfare_spending
social welfare spending,https://en.wikipedia.org/wiki/Welfare_state
Château de la Muette,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_la_Muette
Paris,https://en.wikipedia.org/wiki/Paris
established in April 1948,https://en.wikipedia.org/wiki/Committee_of_European_Economic_Co-operation
Marshall Plan,https://en.wikipedia.org/wiki/Marshall_Plan
World War II,https://en.wikipedia.org/wiki/World_War_II
Robert Marjolin,https://en.wikipedia.org/wiki/Robert_Marjolin
Château de la Muette,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_la_Muette
Rome Treaties,https://en.wikipedia.org/wiki/Treaty_of_Rome
European Economic Community,https://en.wikipedia.org/wiki/European_Economic_Community
Euratom,https://en.wikipedia.org/wiki/Euratom_Treaty
European Free Trade Area,https://en.wikipedia.org/wiki/European_Free_Trade_Area
Inner Six,https://en.wikipedia.org/wiki/Inner_Six
European Nuclear Energy Agency,https://en.wikipedia.org/wiki/European_Nuclear_Energy_Agency
Hotel Majestic,https://en.wikipedia.org/wiki/Hotel_Majestic_(Paris)
Japan,https://en.wikipedia.org/wiki/Japan
Convention on the Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/Convention_on_the_Organisation_for_Economic_Co-operation_and_Development
Finland,https://en.wikipedia.org/wiki/Finland
Australia,https://en.wikipedia.org/wiki/Australia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Yugoslavia,https://en.wikipedia.org/wiki/SFR_Yugoslavia
dissolution as a country,https://en.wikipedia.org/wiki/Breakup_of_Yugoslavia
OECD Development Centre,https://en.wikipedia.org/wiki/OECD_Development_Centre
International Energy Agency,https://en.wikipedia.org/wiki/International_Energy_Agency
Financial Action Task Force on Money Laundering,https://en.wikipedia.org/wiki/Financial_Action_Task_Force_on_Money_Laundering
Revolutions of 1989,https://en.wikipedia.org/wiki/Revolutions_of_1989
Visegrád Group,https://en.wikipedia.org/wiki/Visegr%C3%A1d_Group
Czechoslovakia,https://en.wikipedia.org/wiki/Czechoslovakia
Poland,https://en.wikipedia.org/wiki/Poland
Hungary,https://en.wikipedia.org/wiki/Hungary
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Slovakia,https://en.wikipedia.org/wiki/Slovakia
South Korea,https://en.wikipedia.org/wiki/South_Korea
Mexico,https://en.wikipedia.org/wiki/Mexico
East Germany,https://en.wikipedia.org/wiki/East_Germany
reunification,https://en.wikipedia.org/wiki/German_reunification
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Turkey,https://en.wikipedia.org/wiki/Turkey
Estonia,https://en.wikipedia.org/wiki/Estonia
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Malta,https://en.wikipedia.org/wiki/Malta
EU member states,https://en.wikipedia.org/wiki/EU_member_states
Romania,https://en.wikipedia.org/wiki/Romania
Victor Ponta,https://en.wikipedia.org/wiki/Victor_Ponta
José Ángel Gurría,https://en.wikipedia.org/wiki/Jos%C3%A9_%C3%81ngel_Gurr%C3%ADa
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Chile,https://en.wikipedia.org/wiki/Chile
Estonia,https://en.wikipedia.org/wiki/Estonia
Israel,https://en.wikipedia.org/wiki/Israel
Russia,https://en.wikipedia.org/wiki/Russia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Brazil,https://en.wikipedia.org/wiki/Brazil
China,https://en.wikipedia.org/wiki/China
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
South Africa,https://en.wikipedia.org/wiki/South_Africa
2014 annexation of Crimea,https://en.wikipedia.org/wiki/Annexation_of_Crimea_by_the_Russian_Federation
Colombia,https://en.wikipedia.org/wiki/Colombia
Latvia,https://en.wikipedia.org/wiki/Latvia
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Argentina,https://en.wikipedia.org/wiki/Argentina
Brazil,https://en.wikipedia.org/wiki/Brazil
Croatia,https://en.wikipedia.org/wiki/Croatia
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Peru,https://en.wikipedia.org/wiki/Peru
Argentina,https://en.wikipedia.org/wiki/Argentina
Brazil,https://en.wikipedia.org/wiki/Brazil
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Croatia,https://en.wikipedia.org/wiki/Croatia
Peru,https://en.wikipedia.org/wiki/Peru
Romania,https://en.wikipedia.org/wiki/Romania
Russia,https://en.wikipedia.org/wiki/Russia
