text,url
agricultural research,https://en.wikipedia.org/wiki/Agricultural_science
"Los Baños, Laguna","https://en.wikipedia.org/wiki/Los_Ba%C3%B1os,_Laguna"
rice,https://en.wikipedia.org/wiki/Rice
Green Revolution,https://en.wikipedia.org/wiki/Green_Revolution
famine,https://en.wikipedia.org/wiki/Famine
poverty,https://en.wikipedia.org/wiki/Poverty
environmental sustainability,https://en.wikipedia.org/wiki/Sustainability
CGIAR Consortium of International Agricultural Research Centers,https://en.wikipedia.org/wiki/CGIAR_Consortium_of_International_Agricultural_Research_Centers
food security,https://en.wikipedia.org/wiki/Food_security
Ford Foundation,https://en.wikipedia.org/wiki/Ford_Foundation
Rockefeller Foundation,https://en.wikipedia.org/wiki/Rockefeller_Foundation
Philippines,https://en.wikipedia.org/wiki/Philippines
International treaty,https://en.wikipedia.org/wiki/International_treaty
"Los Baños, Laguna","https://en.wikipedia.org/wiki/Los_Ba%C3%B1os,_Laguna"
Mt. Makiling,https://en.wikipedia.org/wiki/Mt._Makiling
IR8,https://en.wikipedia.org/wiki/IR8
Australian Centre for International Agricultural Research,https://en.wikipedia.org/wiki/Australian_Centre_for_International_Agricultural_Research
Beijing Genomics Institute,https://en.wikipedia.org/wiki/Beijing_Genomics_Institute
golden rice,https://en.wikipedia.org/wiki/Golden_rice
beta carotene,https://en.wikipedia.org/wiki/Beta-Carotene
vitamin A,https://en.wikipedia.org/wiki/Vitamin_A
vitamin A deficiency,https://en.wikipedia.org/wiki/Vitamin_A_deficiency
World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization
genetically modified organism,https://en.wikipedia.org/wiki/Genetically_modified_organism
The Bill and Melinda Gates Foundation,https://en.wikipedia.org/wiki/The_Bill_and_Melinda_Gates_Foundation
genetic diversity,https://en.wikipedia.org/wiki/Genetic_diversity
Global Rice Science Partnership,https://en.wikipedia.org/wiki/Global_Rice_Science_Partnership
Africa Rice Center,https://en.wikipedia.org/wiki/Africa_Rice_Center
International Center for Tropical Agriculture,https://en.wikipedia.org/wiki/International_Center_for_Tropical_Agriculture
Ramon Magsaysay Award,https://en.wikipedia.org/wiki/Ramon_Magsaysay_Award
Rockefeller Brothers Fund,https://en.wikipedia.org/wiki/Rockefeller_Brothers_Fund
Ramon Magsaysay,https://en.wikipedia.org/wiki/Ramon_Magsaysay
Nobel Prize,https://en.wikipedia.org/wiki/Nobel_Prize
BBVA Foundation Frontiers of Knowledge Award,https://en.wikipedia.org/wiki/BBVA_Foundation_Frontiers_of_Knowledge_Award
National Graduate Institute for Policy Studies,https://en.wikipedia.org/wiki/National_Graduate_Institute_for_Policy_Studies
University of the Philippines Los Baños,https://en.wikipedia.org/wiki/University_of_the_Philippines_Los_Ba%C3%B1os
accessions of,https://en.wikipedia.org/wiki/Germplasm
wild relatives,https://en.wikipedia.org/wiki/Crop_wild_relative
rice genetic diversity,https://en.wikipedia.org/wiki/Crop_genetic_diversity
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Burundi,https://en.wikipedia.org/wiki/Burundi
Cambodia,https://en.wikipedia.org/wiki/Cambodia
China,https://en.wikipedia.org/wiki/China
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Japan,https://en.wikipedia.org/wiki/Japan
Laos,https://en.wikipedia.org/wiki/Laos
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Nepal,https://en.wikipedia.org/wiki/Nepal
Philippines,https://en.wikipedia.org/wiki/Philippines
Singapore,https://en.wikipedia.org/wiki/Singapore
South Korea,https://en.wikipedia.org/wiki/South_Korea
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Thailand,https://en.wikipedia.org/wiki/Thailand
Vietnam,https://en.wikipedia.org/wiki/Vietnam
Banaue Rice Terraces,https://en.wikipedia.org/wiki/Banaue_Rice_Terraces
Irrigated Rice Research Consortium,https://en.wikipedia.org/wiki/Irrigated_Rice_Research_Consortium
Rice paddy,https://en.wikipedia.org/wiki/Rice_paddy
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
BBC,https://en.wikipedia.org/wiki/BBC
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
