text,url
French,https://en.wikipedia.org/wiki/French_language
African Union,https://en.wikipedia.org/wiki/African_Union
Specialised Technical Committee,https://en.wikipedia.org/wiki/Specialised_Technical_Committees_of_the_African_Union
water,https://en.wikipedia.org/wiki/Water
sanitation,https://en.wikipedia.org/wiki/Sanitation
regional development,https://en.wikipedia.org/wiki/Regional_development
African countries,https://en.wikipedia.org/wiki/List_of_sovereign_states_and_dependent_territories_in_Africa
socioeconomic development,https://en.wikipedia.org/wiki/Socioeconomics
poverty,https://en.wikipedia.org/wiki/Poverty
water supply,https://en.wikipedia.org/wiki/Water_supply
water resources,https://en.wikipedia.org/wiki/Water_resources
Abuja,https://en.wikipedia.org/wiki/Abuja
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Africa,https://en.wikipedia.org/wiki/Africa
Sharm el-Sheikh,https://en.wikipedia.org/wiki/Sharm_el-Sheikh
Egypt,https://en.wikipedia.org/wiki/Egypt
Heads of State,https://en.wikipedia.org/wiki/Head_of_state
Council of Ministers,https://en.wikipedia.org/wiki/Council_of_Ministers
President,https://en.wikipedia.org/wiki/President_(corporate_title)
Board of Directors,https://en.wikipedia.org/wiki/Board_of_directors
Namibia,https://en.wikipedia.org/wiki/Namibia
West Africa,https://en.wikipedia.org/wiki/West_Africa
Eastern Africa,https://en.wikipedia.org/wiki/East_Africa
Central Africa,https://en.wikipedia.org/wiki/Central_Africa
North Africa,https://en.wikipedia.org/wiki/North_Africa
Southern Africa,https://en.wikipedia.org/wiki/Southern_Africa
vice president,https://en.wikipedia.org/wiki/Vice_president
Executive Secretary,https://en.wikipedia.org/wiki/Executive_Secretary
Technical Advisory Committee,https://en.wikipedia.org/wiki/Technical_Advisory_Council
water resources,https://en.wikipedia.org/wiki/Water_resources
water sector,https://en.wikipedia.org/wiki/Water_industry
water issues,https://en.wikipedia.org/wiki/Water_issues_in_developing_countries
UN agencies,https://en.wikipedia.org/wiki/United_Nations_System
climate change,https://en.wikipedia.org/wiki/Climate_change
water policy,https://en.wikipedia.org/wiki/Water_politics
regional integration,https://en.wikipedia.org/wiki/Regional_integration
Trust Fund,https://en.wikipedia.org/wiki/Trust_law
United Nations Environment Programme (UNEP).,https://en.wikipedia.org/wiki/United_Nations_Environment_Programme
