text,url
resolution,https://en.wikipedia.org/wiki/United_Nations_General_Assembly_resolution
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
United States,https://en.wikipedia.org/wiki/United_States
Bernard Baruch,https://en.wikipedia.org/wiki/Bernard_Baruch
Baruch Plan,https://en.wikipedia.org/wiki/Baruch_Plan
United Nations Security Council veto,https://en.wikipedia.org/wiki/United_Nations_Security_Council_veto
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Baruch Plan,https://en.wikipedia.org/wiki/Baruch_Plan
Acheson–Lilienthal Report,https://en.wikipedia.org/wiki/Acheson%E2%80%93Lilienthal_Report
International Atomic Energy Agency,https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency
Cold War,https://en.wikipedia.org/wiki/Cold_War
United Nations Security Council Resolution 20,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_20
Álvaro Alberto da Motta e Silva,https://en.wikipedia.org/wiki/%C3%81lvaro_Alberto_da_Motta_e_Silva
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
International Atomic Energy Agency,https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency
Peoples Archive,https://en.wikipedia.org/wiki/Peoples_Archive
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
U.S. Department of Energy,https://en.wikipedia.org/wiki/U.S._Department_of_Energy
